iter	RMSE
0	68.43174631
1	67.29937606
2	66.20682408
3	65.12718879
4	64.14638475
5	63.16297686
6	62.21225273
7	61.28252081
8	60.39440519
9	59.54795787
10	58.71474971
11	57.93383287
12	57.18193696
13	56.4664036
14	55.76894219
15	55.13229585
16	54.46670031
17	53.85827091
18	53.26595048
19	52.71109129
20	52.09654323
21	51.56597171
22	51.05980459
23	50.56668341
24	50.08598144
25	49.62441883
26	49.20072296
27	48.76186729
28	48.30930027
29	47.89949729
30	47.5531952
31	47.21466084
32	46.81110095
33	46.48331403
34	46.15221119
35	45.83902667
36	45.56011865
37	45.28619605
38	44.99243053
39	44.672819
40	44.36043317
41	44.12083172
42	43.88154961
43	43.60089243
44	43.3873359
45	43.16865157
46	42.92335988
47	42.69349533
48	42.49799736
49	42.24300908
50	42.05190593
51	41.87393695
52	41.71186421
53	41.50893051
54	41.34076449
55	41.17144477
56	41.00721996
57	40.84145061
58	40.68743073
59	40.5212341
60	40.39417457
61	40.27384831
62	40.14907924
63	40.03515125
64	39.91644789
65	39.77235093
66	39.6573911
67	39.53823207
68	39.44773034
69	39.33378646
70	39.25307002
71	39.17827379
72	39.03712698
73	38.92936412
74	38.79542162
75	38.66006571
76	38.55202719
77	38.43431058
78	38.31807853
79	38.21613557
80	38.11887946
81	38.03144974
82	37.92174743
83	37.83386575
84	37.71233732
85	37.61703193
86	37.50298472
87	37.42254577
88	37.31787699
89	37.24243569
90	37.11740669
91	37.0352449
92	36.94252405
93	36.85960272
94	36.77346128
95	36.69458902
96	36.60717415
97	36.48856848
98	36.42623938
99	36.30461081
100	36.24477036
101	36.17126592
102	36.09374116
103	36.0152768
104	35.93738914
105	35.87155863
106	35.81789862
107	35.75099131
108	35.68055861
109	35.60112801
110	35.52547574
111	35.43327003
112	35.35128308
113	35.25630123
114	35.18456689
115	35.11821641
116	35.06043193
117	35.00749294
118	34.94731615
119	34.83246356
120	34.76611052
121	34.68189342
122	34.61039231
123	34.54387263
124	34.48075151
125	34.42850022
126	34.32125914
127	34.24651247
128	34.19830808
129	34.07905843
130	34.02093754
131	33.97259243
132	33.92676532
133	33.88107219
134	33.78721581
135	33.72290064
136	33.61999698
137	33.57431368
138	33.51243858
139	33.46570878
140	33.40998843
141	33.31459143
142	33.27773354
143	33.23369386
144	33.1879634
145	33.11434159
146	33.07006703
147	33.01924864
148	32.97648197
149	32.89984672
150	32.83551188
151	32.76660601
152	32.71215809
153	32.63613221
154	32.55460304
155	32.48520425
156	32.43734902
157	32.374127
158	32.31996097
159	32.26590019
160	32.19132047
161	32.12672214
162	32.04516858
163	32.00875341
164	31.96194215
165	31.85294855
166	31.78616734
167	31.75327915
168	31.65382349
169	31.61360968
170	31.53060304
171	31.48049539
172	31.426774
173	31.37556086
174	31.33579053
175	31.23805693
176	31.17175769
177	31.13950751
178	31.10036098
179	31.05108632
180	30.97967032
181	30.9307817
182	30.85659684
183	30.80520566
184	30.75471134
185	30.70220044
186	30.6557236
187	30.60162999
188	30.54286368
189	30.47384719
190	30.4258275
191	30.35113773
192	30.30100554
193	30.24592216
194	30.19658063
195	30.15423926
196	30.11096249
197	30.0456381
198	29.96090768
199	29.90564189
200	29.85817897
201	29.80918986
202	29.74985989
203	29.69807766
204	29.64429504
205	29.60930744
206	29.5758806
207	29.5312564
208	29.44848406
209	29.39221871
210	29.33329361
211	29.26395805
212	29.21982127
213	29.18246619
214	29.13544857
215	29.09687633
216	29.07756475
217	29.04692307
218	28.97237498
219	28.90745295
220	28.87018164
221	28.83006302
222	28.8004976
223	28.76190129
224	28.7250362
225	28.66917937
226	28.61076951
227	28.57545766
228	28.52501664
229	28.4804102
230	28.41902319
231	28.35877799
232	28.32655689
233	28.2837082
234	28.23560701
235	28.17502413
236	28.12775992
237	28.1016922
238	28.0373983
239	27.99427201
240	27.9478199
241	27.89743264
242	27.85659212
243	27.80752969
244	27.76075047
245	27.72172418
246	27.66569831
247	27.63077211
248	27.5934127
249	27.54859152
250	27.51556665
251	27.48456688
252	27.45427406
253	27.40214427
254	27.33566351
255	27.29654937
256	27.25887165
257	27.21573466
258	27.15566827
259	27.11176825
260	27.08482811
261	27.05008347
262	27.01253861
263	26.97944298
264	26.9282522
265	26.89598775
266	26.86442563
267	26.83783184
268	26.80411986
269	26.7665878
270	26.7337823
271	26.69864194
272	26.65172247
273	26.60786187
274	26.56796515
275	26.53760578
276	26.50171235
277	26.45660332
278	26.42543477
279	26.38780395
280	26.35434908
281	26.32279442
282	26.26724158
283	26.24384278
284	26.20618373
285	26.13976721
286	26.10291385
287	26.0614854
288	26.02437525
289	25.97180577
290	25.9335866
291	25.90755083
292	25.8792349
293	25.84181604
294	25.80780473
295	25.78992335
296	25.73546775
297	25.67728153
298	25.6424041
299	25.60408739
300	25.57633015
301	25.5394876
302	25.50881038
303	25.46680305
304	25.42153561
305	25.38387794
306	25.33820174
307	25.2912829
308	25.23898036
309	25.19319723
310	25.15732419
311	25.1156848
312	25.0807447
313	25.04254917
314	25.00908506
315	24.96464306
316	24.93063352
317	24.88916961
318	24.85245369
319	24.80549614
320	24.76493517
321	24.73558065
322	24.70451532
323	24.65893148
324	24.61823943
325	24.58240732
326	24.55206884
327	24.50755963
328	24.4633963
329	24.43535009
330	24.39836617
